date	2016/1/21
serial num	D110-6150
	
	
	
	
Time[s]	Intensity[a.u.]
[1]	11.81786363
[2]	11.79791367
[3]	11.79796387
[4]	11.77801424
[5]	11.81806478
[6]	11.88811548
[7]	11.99816635
[8]	12.04821739
[9]	12.0482686
[10]	11.97831997
[11]	11.94837151
[12]	11.86842323
[13]	11.93847511
[14]	12.00852717
[15]	11.95857939
[16]	11.96863179
[17]	12.07868436
[18]	12.0887371
[19]	12.02879002
[20]	12.03884311
[21]	11.99889637
[22]	11.97894981
[23]	11.95900342
[24]	12.06905721
[25]	11.91911118
[26]	11.88916533
[27]	11.99921965
[28]	11.92927415
[29]	11.93932883
[30]	11.92938369
[31]	12.03943872
[32]	12.01949394
[33]	11.87954934
[34]	11.98960492
[35]	11.90966069
[36]	11.91971663
[37]	11.85977276
[38]	11.87982907
[39]	11.95988557
[40]	11.96994225
[41]	11.90999912
[42]	11.92005617
[43]	11.90011341
[44]	11.92017084
[45]	11.92022845
[46]	11.93028625
[47]	12.00034424
[48]	11.92040242
[49]	11.90046079
[50]	11.81051935
[51]	11.90057811
[52]	11.93063705
[53]	11.97069618
[54]	12.01075551
[55]	11.91081503
[56]	11.99087475
[57]	11.92093466
[58]	11.87099477
[59]	11.87105507
[60]	11.92111556
[61]	11.94117626
[62]	11.91123715
[63]	11.94129824
[64]	11.90135953
[65]	11.81142101
[66]	11.9514827
[67]	11.93154459
[68]	12.02160668
[69]	11.93166897
[70]	11.95173146
[71]	11.95179415
[72]	11.86185705
[73]	11.97192015
[74]	11.88198346
[75]	11.91204697
[76]	11.94211069
[77]	12.01217461
[78]	12.02223875
[79]	12.03230309
[80]	11.90236763
[81]	11.94243239
[82]	11.87249735
[83]	11.99256253
[84]	11.97262792
[85]	11.90269352
[86]	11.84275933
[87]	11.96282535
[88]	11.94289158
[89]	11.82295803
[90]	11.8930247
[91]	11.98309158
[92]	11.94315867
[93]	11.92322599
[94]	11.89329351
[95]	11.88336126
[96]	11.95342922
[97]	11.84349741
[98]	11.87356581
[99]	11.88363443
[100]	11.97370328
[101]	11.92377234
[102]	11.90384163
[103]	11.91391114
