Date,2014.06.03,,,
User,Endo,,,
"Simulated by ""Chem Reaction""",,,,
Temperature[K],300,reaction rate constant,,
reaction,A + B ⇒ 2C ,0.5,,
,A + C ⇒ D,0.1,,
dT,5,,,
start[min],0,,,
end[min],445,,,
Time[min],A,B,C,D
0,1,1,0,0
5,0.959853751,0.960017556,0.03981864,0.000163805
10,0.922501497,0.92312135,0.076258798,0.000619853
15,0.887656266,0.888977933,0.1097004,0.001321667
20,0.85506949,0.857299726,0.140470039,0.002230236
25,0.824524758,0.827837427,0.168849905,0.003312668
30,0.79583276,0.800373885,0.19508499,0.004541125
35,0.76882715,0.774719106,0.219388937,0.005891957
40,0.743361153,0.750706158,0.241948836,0.007345006
45,0.719304753,0.728187795,0.262929164,0.008883041
50,0.696542358,0.707033653,0.282475053,0.010491295
55,0.674970839,0.687127916,0.300715008,0.012157077
60,0.654497886,0.66836735,0.317763187,0.013869464
65,0.635040621,0.650659653,0.333721315,0.015619032
70,0.616524412,0.633922053,0.348680306,0.017397641
75,0.598881868,0.618080118,0.362721632,0.01919825
80,0.582051975,0.603066736,0.375918503,0.021014761
85,0.565979357,0.588821246,0.388336866,0.022841889
90,0.55061363,0.575288683,0.400036265,0.024675053
95,0.535908854,0.562419133,0.411070588,0.026510279
100,0.521823045,0.550167168,0.42148871,0.028344122
105,0.508317759,0.538491355,0.431335049,0.030173596
110,0.49535772,0.527353834,0.440650052,0.031996114
115,0.482910502,0.51671994,0.449470621,0.033809439
120,0.47094624,0.506557878,0.457830485,0.035611638
125,0.459437384,0.49683843,0.465760523,0.037401046
130,0.448358475,0.487534709,0.473289058,0.039176233
135,0.437685949,0.478621923,0.480442103,0.040935974
140,0.427397963,0.470077186,0.48724359,0.042679224
145,0.417474237,0.461879334,0.493715569,0.044405097
150,0.407895919,0.454008767,0.499878385,0.046112848
155,0.398645458,0.446447313,0.505750832,0.047801855
160,0.389706493,0.439178097,0.511350299,0.049471604
165,0.381063752,0.432185429,0.516692893,0.051121678
170,0.372702964,0.425454706,0.521793551,0.052751742
175,0.364610776,0.418972316,0.526666144,0.05436154
180,0.35677468,0.412725557,0.531323566,0.055950877
185,0.349182946,0.406702566,0.535777814,0.05751962
190,0.341824563,0.400892248,0.540040067,0.059067685
195,0.334689183,0.395284216,0.544120751,0.060595033
200,0.327767072,0.389868738,0.548029596,0.062101666
205,0.321049063,0.384636684,0.551775696,0.06358762
210,0.314526518,0.379579482,0.555367555,0.065052963
215,0.308191287,0.374689076,0.558813136,0.066497788
220,0.302035675,0.369957889,0.562119898,0.067922214
225,0.29605241,0.365378786,0.565294837,0.069326377
230,0.290234613,0.360945047,0.568344519,0.070710434
235,0.284575773,0.356650331,0.571275111,0.072074558
240,0.279069724,0.352488656,0.574092412,0.073418932
245,0.273710616,0.34845437,0.576801876,0.074743754
250,0.268492902,0.344542132,0.579408638,0.07604923
255,0.263411314,0.340746889,0.581917537,0.077335575
260,0.258460847,0.337063857,0.584333132,0.07860301
265,0.25363674,0.333488505,0.58665973,0.079851765
270,0.248934467,0.330016538,0.588901391,0.081082071
275,0.244349715,0.32664388,0.591061955,0.082294165
280,0.239878379,0.323366664,0.593145051,0.083488285
285,0.235516541,0.320181216,0.595154109,0.084664675
290,0.231260469,0.317084045,0.597092379,0.085823576
295,0.227106597,0.314071831,0.598962936,0.086965233
300,0.223051522,0.311141413,0.600768695,0.088089891
305,0.219091991,0.308289785,0.60251242,0.089197794
310,0.215224894,0.305514081,0.604196733,0.090289187
315,0.211447257,0.302811569,0.60582412,0.091364311
320,0.207756234,0.300179644,0.607396945,0.092423411
325,0.204149097,0.297615822,0.608917453,0.093466725
330,0.200623236,0.29511773,0.610387776,0.094494494
335,0.197176148,0.292683101,0.611809945,0.095506954
340,0.193805431,0.290309771,0.61318589,0.09650434
345,0.190508783,0.287995668,0.614517448,0.097486884
350,0.187283994,0.285738812,0.61580637,0.098454818
355,0.184128939,0.283537308,0.617054323,0.099408369
360,0.18104158,0.281389342,0.618262897,0.100347761
365,0.178019957,0.279293175,0.619433607,0.101273218
370,0.175062185,0.277247142,0.6205679,0.102184958
375,0.172166449,0.275249648,0.621667154,0.103083198
380,0.169331007,0.273299159,0.622732688,0.103968152
385,0.166554178,0.271394209,0.62376576,0.104840031
390,0.163834344,0.269533386,0.624767573,0.105699042
395,0.161169947,0.267715336,0.625739274,0.106545389
400,0.158559485,0.26593876,0.626681964,0.107379275
405,0.156001509,0.264202408,0.627596694,0.108200899
410,0.153494622,0.262505077,0.628484468,0.109010455
415,0.151037478,0.260845613,0.629346251,0.109808136
420,0.148628774,0.259222905,0.630182964,0.110594131
425,0.146267254,0.257635883,0.630995489,0.111368628
430,0.143951707,0.256083517,0.631784674,0.11213181
435,0.141680959,0.254564815,0.632551328,0.112883856
440,0.139453879,0.253078824,0.63329623,0.113624946
445,0.13726937,0.251624622,0.634020126,0.114355252
